Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes
19.35,Morning,Weekday,3.0,Low,Clear,3.56,0.8,0.32,53.82
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33
41.79,Night,Weekend,3.0,High,Clear,4.6,1.77,0.11,86.95
9.91,Evening,Weekday,2.0,High,Clear,2.32,1.26,0.34,41.72
9.99,Night,Weekday,4.0,High,Clear,4.33,0.85,0.43,34.0
15.91,Morning,Weekday,4.0,Low,Clear,4.42,1.77,0.21,114.93
26.71,Afternoon,Weekend,4.0,Low,Rain,4.3,1.59,0.2,111.18
30.98,Afternoon,Weekend,1.0,Low,Rain,4.5,0.84,0.25,57.02
105.94355003672597,Night,Weekend,2.0,Low,Rain,3.94,1.69,0.32,23.03
